gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000038482	Tfdp1	119.0	75.0	189.0	21.0	191.0	42.0	113.0	57.0
ENSMUSG00000067878	Map7d3	10.0	9.0	9.0	2.0	10.0	2.0	10.0	4.0
ENSMUSG00000009630	Ppp2cb	84.0	67.0	152.0	15.0	158.0	36.0	82.0	41.0
ENSMUSG00000043110	Lrrn4	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
ENSMUSG00000057894	Zfp329	94.0	51.0	135.0	16.0	141.0	28.0	95.0	36.0
ENSMUSG00000086881	Gm13594	0.0	2.0	2.0	0.0	5.0	1.0	4.0	0.0
ENSMUSG00000028944	Prkag2	65.0	40.0	129.0	19.0	120.0	28.0	113.0	30.0
ENSMUSG00000011306	Sugp1	223.0	158.0	347.0	70.0	365.0	88.0	232.0	111.0
ENSMUSG00000097804	Gm16685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUSG00000105349	Gm43604	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
ENSMUSG00000026450	Chit1	0.0	2.0	3.0	0.0	9.0	0.0	8.0	0.0
ENSMUSG00000022855	Senp2	271.0	224.0	491.0	69.0	480.0	137.0	340.0	117.0
ENSMUSG00000001663	Gstt1	5.0	5.0	11.0	2.0	10.0	5.0	3.0	0.0
ENSMUSG00000028729	Ebna1bp2	172.0	93.0	295.0	36.0	270.0	70.0	205.0	45.0
ENSMUSG00000108760	Gm31897	1.0	1.0	3.0	0.0	2.0	0.0	0.0	1.0
ENSMUSG00000032261	Sh3bgrl2	1.0	2.0	1.0	0.0	2.0	2.0	1.0	2.0
ENSMUSG00000039462	Col10a1	3.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
ENSMUSG00000001229	Dpp9	88.0	67.0	119.0	24.0	108.0	26.0	101.0	34.0
ENSMUSG00000053706	B430305J03Rik	2.0	0.0	5.0	0.0	3.0	1.0	2.0	1.0
ENSMUSG00000037921	Ddx60	172.0	87.0	214.0	35.0	243.0	44.0	151.0	76.0
ENSMUSG00000084992	Gm13842	2.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0
ENSMUSG00000069045	Ddx3y	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ENSMUSG00000019813	Cep57l1	30.0	16.0	51.0	6.0	72.0	6.0	46.0	15.0
ENSMUSG00000028282	Casp8ap2	399.0	319.0	718.0	116.0	624.0	173.0	369.0	165.0
ENSMUSG00000113885	Gm47802	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUSG00000044894	Uqcrq	347.0	268.0	704.0	86.0	670.0	172.0	416.0	172.0
ENSMUSG00000056394	Lig1	294.0	208.0	443.0	54.0	409.0	108.0	316.0	94.0
ENSMUSG00000037152	Ndufc1	130.0	113.0	263.0	37.0	299.0	73.0	159.0	62.0
ENSMUSG00000085303	Gm16751	1.0	1.0	2.0	0.0	1.0	0.0	2.0	1.0
ENSMUSG00000023267	Gabrr2	0.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0
ENSMUSG00000004815	Dgkq	29.0	18.0	50.0	2.0	47.0	11.0	29.0	14.0
ENSMUSG00000018160	Med1	321.0	232.0	545.0	80.0	562.0	151.0	351.0	153.0
