gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000085995	Gm2788	4.0	16.0	6.0	13.0	15.0	12.0	10.0	17.0
ENSMUSG00000052512	Nav2	24.0	18.0	17.0	15.0	17.0	22.0	20.0	36.0
ENSMUSG00000039745	Htatip2	2092.0	2482.0	1857.0	1501.0	2624.0	1989.0	2828.0	1910.0
ENSMUSG00000030505	Prmt3	1543.0	1922.0	1470.0	1261.0	1952.0	1706.0	1877.0	1515.0
ENSMUSG00000030500	Slc17a6	915.0	924.0	556.0	562.0	1317.0	659.0	1274.0	512.0
ENSMUSG00000092118	Fancf	309.0	259.0	225.0	166.0	348.0	265.0	245.0	200.0
ENSMUSG00000030498	Gas2	410.0	432.0	324.0	197.0	551.0	416.0	638.0	462.0
ENSMUSG00000074093	Svip	111.0	170.0	97.0	80.0	148.0	122.0	162.0	128.0
ENSMUSG00000063297	Luzp2	50.0	44.0	44.0	30.0	43.0	50.0	49.0	48.0
ENSMUSG00000033790	Tubgcp5	729.0	854.0	653.0	561.0	885.0	720.0	1010.0	754.0
ENSMUSG00000030447	Cyfip1	1186.0	1376.0	934.0	711.0	1616.0	1009.0	1570.0	982.0
ENSMUSG00000030452	Nipa2	1948.0	2345.0	1811.0	1382.0	2274.0	1921.0	2510.0	2071.0
ENSMUSG00000087178	A230056P14Rik	40.0	32.0	29.0	29.0	42.0	24.0	37.0	35.0
ENSMUSG00000108659	Gm34121	23.0	20.0	15.0	21.0	21.0	24.0	18.0	31.0
ENSMUSG00000030451	Herc2	2332.0	2579.0	2174.0	1712.0	3189.0	2607.0	2686.0	2327.0
ENSMUSG00000025324	Atp10a	8807.0	9383.0	8607.0	4562.0	11369.0	7992.0	11522.0	5927.0
ENSMUSG00000025326	Ube3a	4217.0	4890.0	4212.0	3177.0	5538.0	4223.0	5257.0	3920.0
ENSMUSG00000100826	Snhg14	56.0	57.0	39.0	50.0	56.0	50.0	50.0	46.0
ENSMUSG00000102252	Snrpn	28.0	16.0	22.0	76.0	22.0	7.0	18.0	14.0
ENSMUSG00000052040	Klf13	4586.0	6332.0	4259.0	4235.0	5190.0	6487.0	5692.0	5598.0
ENSMUSG00000095061	E030018B13Rik	20.0	11.0	11.0	15.0	6.0	17.0	12.0	8.0
ENSMUSG00000108393	Gm32633	49.0	39.0	47.0	102.0	44.0	119.0	44.0	70.0
ENSMUSG00000030523	Trpm1	34.0	76.0	38.0	49.0	64.0	74.0	152.0	53.0
ENSMUSG00000030522	Mtmr10	214.0	312.0	166.0	193.0	280.0	245.0	281.0	255.0
ENSMUSG00000092187	Gm20457	39.0	37.0	38.0	31.0	52.0	39.0	37.0	39.0
ENSMUSG00000033458	Fan1	149.0	171.0	159.0	139.0	198.0	181.0	216.0	188.0
ENSMUSG00000030521	Mphosph10	2950.0	3970.0	2960.0	2448.0	3967.0	3439.0	4410.0	3470.0
ENSMUSG00000033429	Mcee	610.0	882.0	608.0	456.0	843.0	664.0	884.0	755.0
ENSMUSG00000070520	Nsmce3	1938.0	2705.0	1806.0	1620.0	2462.0	2456.0	2761.0	2279.0
ENSMUSG00000030516	Tjp1	224.0	383.0	226.0	257.0	310.0	155.0	97.0	134.0
ENSMUSG00000030515	Tarsl2	303.0	371.0	288.0	285.0	425.0	365.0	424.0	338.0
ENSMUSG00000078681	Tm2d3	1603.0	1991.0	1415.0	1202.0	1985.0	1540.0	2407.0	1554.0
ENSMUSG00000030512	Snrpa1	3746.0	4818.0	3452.0	2698.0	5008.0	4026.0	5042.0	3680.0
ENSMUSG00000075701	Selenos	4664.0	5973.0	4047.0	4041.0	5338.0	5448.0	5815.0	5807.0
ENSMUSG00000097634	Gm26827	88.0	86.0	64.0	56.0	104.0	63.0	66.0	104.0
ENSMUSG00000032640	Chsy1	1774.0	2000.0	1441.0	1124.0	2291.0	1395.0	1827.0	1343.0
ENSMUSG00000015133	Lrrk1	3046.0	4472.0	2850.0	2140.0	4599.0	2786.0	4269.0	2526.0
ENSMUSG00000109119	Gm44752	49.0	65.0	54.0	34.0	67.0	35.0	54.0	27.0
ENSMUSG00000078677	Gm10974	33.0	57.0	41.0	40.0	53.0	57.0	58.0	31.0
ENSMUSG00000015134	Aldh1a3	17.0	21.0	7.0	10.0	19.0	19.0	23.0	21.0
ENSMUSG00000030509	Asb7	601.0	781.0	532.0	424.0	751.0	621.0	837.0	634.0
ENSMUSG00000053091	Lins1	181.0	205.0	193.0	172.0	254.0	233.0	295.0	252.0
ENSMUSG00000058145	Adamts17	1.0	9.0	3.0	13.0	9.0	12.0	9.0	15.0
ENSMUSG00000043831	Lysmd4	261.0	270.0	221.0	217.0	338.0	243.0	267.0	226.0
ENSMUSG00000030557	Mef2a	3365.0	4029.0	3638.0	2534.0	4688.0	3127.0	3719.0	2742.0
ENSMUSG00000030556	Lrrc28	381.0	387.0	348.0	303.0	421.0	393.0	425.0	422.0
ENSMUSG00000030555	Ttc23	11.0	11.0	6.0	3.0	8.0	11.0	12.0	11.0
ENSMUSG00000005533	Igf1r	104.0	152.0	148.0	250.0	157.0	496.0	184.0	406.0
ENSMUSG00000030553	Pgpep1l	43.0	71.0	63.0	109.0	63.0	165.0	52.0	158.0
ENSMUSG00000086628	Gm16157	48.0	83.0	59.0	86.0	76.0	148.0	86.0	117.0
ENSMUSG00000074071	Fam169b	3313.0	3683.0	3499.0	3199.0	4306.0	4765.0	4183.0	4028.0
ENSMUSG00000086410	Gm16158	56.0	51.0	49.0	49.0	62.0	42.0	52.0	33.0
ENSMUSG00000042659	Arrdc4	126.0	236.0	188.0	161.0	202.0	127.0	94.0	73.0
ENSMUSG00000032776	Mctp2	2399.0	2445.0	2225.0	2012.0	3197.0	2229.0	2336.0	2005.0
ENSMUSG00000108493	Gm45715	24.0	28.0	19.0	17.0	33.0	16.0	14.0	19.0
ENSMUSG00000078671	Chd2	5171.0	6503.0	5405.0	5426.0	6554.0	7438.0	5669.0	5769.0
ENSMUSG00000108563	Gm44686	285.0	244.0	282.0	278.0	320.0	456.0	241.0	255.0
ENSMUSG00000101970	1810026B05Rik	2765.0	3127.0	2551.0	2720.0	3285.0	4092.0	2563.0	2934.0
ENSMUSG00000108724	Gm44734	9.0	10.0	5.0	7.0	10.0	8.0	5.0	16.0
ENSMUSG00000078670	Fam174b	444.0	454.0	491.0	355.0	736.0	455.0	656.0	318.0
ENSMUSG00000025790	Slco3a1	1968.0	1656.0	1600.0	1382.0	1641.0	1884.0	1624.0	2328.0
ENSMUSG00000085161	Gm7580	19.0	10.0	13.0	7.0	12.0	21.0	17.0	19.0
ENSMUSG00000066406	Akap13	31343.0	38161.0	30458.0	24267.0	39178.0	31081.0	36920.0	29116.0
ENSMUSG00000097415	AU020206	5654.0	5893.0	5638.0	3740.0	6150.0	3863.0	5621.0	3986.0
ENSMUSG00000055652	Klhl25	570.0	707.0	527.0	427.0	697.0	504.0	602.0	518.0
ENSMUSG00000025754	Agbl1	11.0	7.0	6.0	5.0	12.0	29.0	1.0	4.0
ENSMUSG00000059146	Ntrk3	194.0	224.0	190.0	184.0	246.0	342.0	226.0	204.0
ENSMUSG00000030612	Mrpl46	1381.0	2212.0	1342.0	1199.0	1814.0	1879.0	2299.0	1869.0
